課別,生字,注音,部首,筆畫,詞語
114上 第八課：「聰明」的小熊,烏,ㄨ,火,10,烏鴉
114上 第八課：「聰明」的小熊,喝,ㄏㄜ,口,12,喝水
114上 第八課：「聰明」的小熊,瓶,ㄆㄧㄥˊ,瓦,10,瓶子
114上 第八課：「聰明」的小熊,法,ㄈㄚˇ,水,8,方法
114上 第八課：「聰明」的小熊,森,ㄙㄣ,木,12,森林
114上 第八課：「聰明」的小熊,林,ㄌㄧㄣˊ,木,8,森林
114上 第八課：「聰明」的小熊,物,ㄨˋ,牛,8,動物
114上 第八課：「聰明」的小熊,旅,ㄌㄩˇ,方,10,旅行
114上 第八課：「聰明」的小熊,行,ㄒㄧㄥˊ,行,6,走路
114上 第八課：「聰明」的小熊,午,ㄨˇ,十,4,中午
114上 第八課：「聰明」的小熊,裝,ㄓㄨㄤ,衣,13,假裝
114上 第八課：「聰明」的小熊,許,ㄒㄩˇ,言,11,許多
114上 第八課：「聰明」的小熊,石,ㄕˊ,石,5,石頭
114上 第八課：「聰明」的小熊,難,ㄋㄢˊ,隹,19,難過
114上 第八課：「聰明」的小熊,忘,ㄨㄤˋ,心,7,忘記
114上 第八課：「聰明」的小熊,哈,ㄏㄚ,口,9,哈哈
114上 第八課：「聰明」的小熊,但,ㄉㄢˋ,人,7,但是
114上 第九課：大象有多重?,象,ㄒㄧㄤˋ,豕,12,大象
114上 第九課：大象有多重?,操,ㄘㄠ,手,16,操場
114上 第九課：大象有多重?,粗,ㄘㄨ,米,11,粗壯
114上 第九課：大象有多重?,腿,ㄊㄨㄟˇ,肉,14,大腿
114上 第九課：大象有多重?,柱,ㄓㄨˋ,木,9,柱子
114上 第九課：大象有多重?,砍,ㄎㄢˇ,石,9,砍樹
114上 第九課：大象有多重?,幾,ㄐㄧˇ,幺,12,幾個
114上 第九課：大象有多重?,部,ㄅㄨˋ,邑,11,部分
114上 第九課：大象有多重?,搖,ㄧㄠˊ,手,13,搖動
114上 第九課：大象有多重?,沖,ㄔㄨㄥ,水,7,沖洗
114上 第九課：大象有多重?,首,ㄕㄡˇ,首,9,第一
114上 第九課：大象有多重?,牽,ㄑㄧㄢ,牛,11,牽手
114上 第九課：大象有多重?,沉,ㄔㄣˊ,水,7,沉重
114上 第九課：大象有多重?,少,ㄕㄠˇ ,小,4,少見
114上 第九課：大象有多重?,沿,ㄧㄢˊ,水,8,沿著
114上 第九課：大象有多重?,然,ㄖㄢˊ,火,12,然後
114上 第九課：大象有多重?,紀,ㄐㄧˋ,糸,9,紀念
114上 第九課：大象有多重?,竟,ㄐㄧㄥˋ,音,11,竟然
114上 第十課：新年快樂,雪,ㄒㄩㄝˇ,雨,11,下雪
114上 第十課：新年快樂,梨,ㄌㄧˊ,木,11,梨子
114上 第十課：新年快樂,夜,ㄧㄝˋ,夕,8,夜晚
114上 第十課：新年快樂,卻,ㄑㄩㄝˋ,卩,9,卻步
114上 第十課：新年快樂,冷,ㄌㄥˇ,冫,7,寒冷
114上 第十課：新年快樂,冬,ㄉㄨㄥ,冫,5,冬天
114上 第十課：新年快樂,臺,ㄊㄞˊ,至,14,臺北
114上 第十課：新年快樂,季,ㄐㄧˋ,子,8,季節
114上 第十課：新年快樂,相,ㄒㄧㄤ ,目,9,相信
114上 第十課：新年快樂,反,ㄈㄢˇ,又,4,相反
114上 第十課：新年快樂,煙,ㄧㄢ,火,13,煙火
114上 第十課：新年快樂,火,ㄏㄨㄛˇ,火,4,火車
114上 第十課：新年快樂,待,ㄉㄞˋ,彳,9,等待
114上 第十課：新年快樂,雖,ㄙㄨㄟ,隹,17,雖然
114上 第十課：新年快樂,春,ㄔㄨㄣ,日,9,春天
114上 第十課：新年快樂,貨,ㄏㄨㄛˋ,貝,11,貨物
114上 第十課：新年快樂,期,ㄑㄧˊ,月,12,期待
114上 第十課：新年快樂,飯,ㄈㄢˋ,食,13,吃飯
114上 第十一課：遠方來的黑皮,皮,ㄆㄧˊ,皮,5,皮膚
114上 第十一課：遠方來的黑皮,具,ㄐㄩˋ,八,8,玩具
114上 第十一課：遠方來的黑皮,飛,ㄈㄟ,飛,9,飛機
114上 第十一課：遠方來的黑皮,者,ㄓㄜˇ,老,9,作者
114上 第十一課：遠方來的黑皮,洋,ㄧㄤˊ,水,9,海洋
114上 第十一課：遠方來的黑皮,寒,ㄏㄢˊ,宀,12,寒冷
114上 第十一課：遠方來的黑皮,北,ㄅㄟˇ,匕,5,北方
114上 第十一課：遠方來的黑皮,嘴,ㄗㄨㄟˇ,口,16,嘴巴
114上 第十一課：遠方來的黑皮,伸,ㄕㄣ,人,7,伸出
114上 第十一課：遠方來的黑皮,飽,ㄅㄠˇ,食,13,吃飽
114上 第十一課：遠方來的黑皮,沙,ㄕㄚ,水,7,沙子
114上 第十一課：遠方來的黑皮,急,ㄐㄧˊ,心,9,急忙
114上 第十一課：遠方來的黑皮,服,ㄈㄨˊ,月,8,衣服
114上 第十一課：遠方來的黑皮,站,ㄓㄢˋ,立,10,車站
114上 第十一課：遠方來的黑皮,翅,ㄔˋ,羽,10,翅膀
114上 第十一課：遠方來的黑皮,膀,ㄅㄤˇ,肉,14,肩膀
114上 第十一課：遠方來的黑皮,充,ㄔㄨㄥ,儿,6,充足
114上 第十一課：遠方來的黑皮,念,ㄋㄧㄢˋ,心,8,思念
114上 第十二課：我愛冬天,灰,ㄏㄨㄟ,火,6,灰色
114上 第十二課：我愛冬天,涼,ㄌㄧㄤˊ,水,11,涼快
114上 第十二課：我愛冬天,牠,ㄊㄚ,牛,7,牠們
114上 第十二課：我愛冬天,鼓,ㄍㄨˇ,鼓,13,鼓掌
114上 第十二課：我愛冬天,絡,ㄌㄨㄛˋ,糸,12,聯絡
114上 第十二課：我愛冬天,欣,ㄒㄧㄣ,欠,8,欣賞
114上 第十二課：我愛冬天,發,ㄈㄚ ,癶,12,發現
114上 第十二課：我愛冬天,居,ㄐㄩ,尸,8,居住
114上 第十二課：我愛冬天,冒,ㄇㄠˋ,冂,9,冒險
114上 第十二課：我愛冬天,冰,ㄅㄧㄥ,冫,6,冰塊
114上 第十二課：我愛冬天,圍,ㄨㄟˊ,囗,12,圍巾
114上 第十二課：我愛冬天,咪,ㄇㄧ,口,9,貓咪
114上 第十二課：我愛冬天,幸,ㄒㄧㄥˋ,干,8,幸福
114上 第十二課：我愛冬天,團,ㄊㄨㄢˊ,囗,14,團圓
114上 第十二課：我愛冬天,聚,ㄐㄩˋ,耳,14,聚會
114上 第十二課：我愛冬天,愉,ㄩˊ,心,12,愉快
114上 第十二課：我愛冬天,鍋,ㄍㄨㄛ,金,17,火鍋
114上 第十二課：我愛冬天,妙,ㄇㄧㄠˋ,女,7,奇妙
114下 第一課：春天的顏色,顏,ㄧㄢˊ,頁,18,顏色
114下 第一課：春天的顏色,池,ㄔˊ,水,6,水池
114下 第一課：春天的顏色,塘,ㄊㄤˊ,土,13,池塘
114下 第一課：春天的顏色,藍,ㄌㄢˊ,艸,18,藍色
114下 第一課：春天的顏色,田,ㄊㄧㄢˊ,田,5,水田
114下 第一課：春天的顏色,洞,ㄉㄨㄥˋ,水,9,洞穴
114下 第一課：春天的顏色,綠,ㄌㄩˋ,糸,14,綠色
114下 第一課：春天的顏色,蜜,ㄇㄧˋ,虫,14,蜜蜂
114下 第一課：春天的顏色,蜂,ㄈㄥ,虫,13,蜜蜂
114下 第一課：春天的顏色,窩,ㄨㄛ,穴,14,窩心
114下 第一課：春天的顏色,粉,ㄈㄣˇ,米,10,粉紅
114下 第一課：春天的顏色,桃,ㄊㄠˊ,木,10,桃花
114下 第一課：春天的顏色,興,ㄒㄧㄥˋ,臼,16,高興
114下 第一課：春天的顏色,處,ㄔㄨˋ,虍,11,處處
114下 第一課：春天的顏色,景,ㄐㄧㄥˇ,日,12,風景
114下 第二課：花衣裳,裳,˙ㄕㄤ,衣,14,衣裳
114下 第二課：花衣裳,驚,ㄐㄧㄥ,馬,23,驚奇
114下 第二課：花衣裳,所,ㄙㄨㄛˇ,戶,8,所以
114下 第二課：花衣裳,躲,ㄉㄨㄛˇ,身,13,躲藏
114下 第二課：花衣裳,房,ㄈㄤˊ,戶,8,房間
114下 第二課：花衣裳,間,ㄐㄧㄢ,門,12,中間
114下 第二課：花衣裳,討,ㄊㄠˇ,言,10,討論
114下 第二課：花衣裳,論,ㄌㄨㄣˋ,言,15,討論
114下 第二課：花衣裳,指,ㄓˇ,手,9,手指
114下 第二課：花衣裳,裙,ㄑㄩㄣˊ,衣,12,裙子
114下 第二課：花衣裳,而,ㄦˊ,而,6,而且
114下 第二課：花衣裳,且,ㄑㄧㄝˇ,一,5,而且
114下 第二課：花衣裳,紫,ㄗˇ,糸,12,紫色
114下 第二課：花衣裳,將,ㄐㄧㄤ,寸,11,將來
114下 第二課：花衣裳,工,ㄍㄨㄥ,工,3,工作
114下 第二課：花衣裳,合,ㄏㄜˊ,口,6,合作
114下 第二課：花衣裳,貼,ㄊㄧㄝ,貝,12,貼紙
114下 第二課：花衣裳,候,ㄏㄡˋ,人,10,時候
114下 第三課：彩色王國,座,ㄗㄨㄛˋ,广,10,座位
114下 第三課：彩色王國,對,ㄉㄨㄟˋ,寸,14,對話
114下 第三課：彩色王國,微,ㄨㄟ,彳,13,微笑
114下 第三課：彩色王國,表,ㄅㄧㄠˇ,衣,8,表示
114下 第三課：彩色王國,各,ㄍㄜˋ,口,6,各位
114下 第三課：彩色王國,突,ㄊㄨˊ,穴,9,突然
114下 第三課：彩色王國,強,ㄑㄧㄤˊ,弓,11,強大
114下 第三課：彩色王國,被,ㄅㄟˋ,衣,10,棉被
114下 第三課：彩色王國,綻,ㄓㄢˋ,糸,14,綻放
114下 第三課：彩色王國,特,ㄊㄜˋ,牛,10,特別
114下 第三課：彩色王國,舌,ㄕㄜˊ,舌,6,舌頭
114下 第三課：彩色王國,賞,ㄕㄤˇ,貝,15,賞花
114下 第三課：彩色王國,果,ㄍㄨㄛˇ,木,8,水果
114下 第三課：彩色王國,定,ㄉㄧㄥˋ,宀,8,決定
114下 第三課：彩色王國,互,ㄏㄨˋ,二,4,互相
114下 第三課：彩色王國,換,ㄏㄨㄢˋ,手,12,交換
114下 第三課：彩色王國,共,ㄍㄨㄥˋ,八,6,公共
114下 第三課：彩色王國,漸,ㄐㄧㄢˋ,水,14,漸漸
114下 第四課：爸爸,散,ㄙㄢˋ,攴,12,散步
114下 第四課：爸爸,芒,ㄇㄤˊ,艸,7,光芒
114下 第四課：爸爸,透,ㄊㄡˋ,辵,11,透明
114下 第四課：爸爸,暗,ㄢˋ,日,13,黑暗
114下 第四課：爸爸,照,ㄓㄠˋ,火,13,拍照
114下 第四課：爸爸,掛,ㄍㄨㄚˋ,手,11,掛著
114下 第四課：爸爸,角,ㄐㄧㄠˇ,角,7,角落
114下 第四課：爸爸,揚,ㄧㄤˊ,手,12,揚起
114下 第四課：爸爸,星,ㄒㄧㄥ,日,9,星星
114下 第四課：爸爸,閃,ㄕㄢˇ,門,10,閃亮
114下 第四課：爸爸,晶,ㄐㄧㄥ,日,12,亮晶晶
114下 第四課：爸爸,當,ㄉㄤ,田,13,當時
114下 第四課：爸爸,睡,ㄕㄨㄟˋ,目,14,睡覺
114下 第四課：爸爸,悄,ㄑㄧㄠˇ,心,10,悄悄
114下 第四課：爸爸,常,ㄔㄤˊ,巾,11,常常
114下 第四課：爸爸,旁,ㄆㄤˊ,方,10,旁邊
114下 第四課：爸爸,臂,ㄅㄧˋ,肉,17,手臂
114下 第四課：爸爸,永,ㄩㄥˇ,水,5,永遠
114下 第五課：我的家人,剛,ㄍㄤ,刀,10,剛好
114下 第五課：我的家人,品,ㄆㄧㄣˇ,口,9,作品
114下 第五課：我的家人,爺,ㄧㄝˊ,父,13,爺爺
114下 第五課：我的家人,採,ㄘㄞˇ,手,11,採訪
114下 第五課：我的家人,蕉,ㄐㄧㄠ,艸,16,香蕉
114下 第五課：我的家人,軍,ㄐㄩㄣ,車,9,軍人
114下 第五課：我的家人,告,ㄍㄠˋ,口,7,告訴
114下 第五課：我的家人,訴,ㄙㄨˋ,言,12,告訴
114下 第五課：我的家人,辛,ㄒㄧㄣ,辛,7,辛苦
114下 第五課：我的家人,苦,ㄎㄨˇ,艸,9,辛苦
114下 第五課：我的家人,流,ㄌㄧㄡˊ,水,9,流行
114下 第五課：我的家人,堅,ㄐㄧㄢ,土,11,堅定
114下 第五課：我的家人,固,ㄍㄨˋ,囗,8,固定
114下 第五課：我的家人,安,ㄢ,宀,6,安靜
114下 第五課：我的家人,寶,ㄅㄠˇ,宀,20,寶貝
114下 第五課：我的家人,貝,ㄅㄟˋ,貝,7,寶貝
114下 第五課：我的家人,幅,ㄈㄨˊ,巾,12,一幅
114下 第五課：我的家人,管,ㄍㄨㄢˇ,竹,14,管理
114下 第六課：愛笑的大樹,教,ㄐㄧㄠˋ,攴,11,教導
114下 第六課：愛笑的大樹,室,ㄕˋ,宀,9,室內
114下 第六課：愛笑的大樹,棵,ㄎㄜ,木,12,一棵
114下 第六課：愛笑的大樹,及,ㄐㄧˊ,又,4,以及
114下 第六課：愛笑的大樹,終,ㄓㄨㄥ,糸,11,終於
114下 第六課：愛笑的大樹,立,ㄌㄧˋ,立,5,立刻
114下 第六課：愛笑的大樹,刻,ㄎㄜˋ,刀,8,立刻
114下 第六課：愛笑的大樹,抱,ㄅㄠˋ,手,8,擁抱
114下 第六課：愛笑的大樹,並,ㄅㄧㄥˋ,一,8,並且
114下 第六課：愛笑的大樹,猜,ㄘㄞ,犬,11,猜猜
114下 第六課：愛笑的大樹,文,ㄨㄣˊ,文,4,文字
114下 第六課：愛笑的大樹,借,ㄐㄧㄝˋ,人,10,借用
114下 第六課：愛笑的大樹,枝,ㄓ,木,8,樹枝
114下 第六課：愛笑的大樹,鉛,ㄑㄧㄢ,金,13,鉛筆
114下 第六課：愛笑的大樹,校,ㄒㄧㄠˋ,木,10,學校
114下 第六課：愛笑的大樹,車,ㄔㄜ,車,7,汽車
114下 第六課：愛笑的大樹,哥,ㄍㄜ,口,10,哥哥
114下 第六課：愛笑的大樹,牛,ㄋㄧㄡˊ,牛,4,小牛
